x,y,z,content_id,well_id,_x,_y,_z
5626205.0,2315840.0,-450.0,7,1007р_1,5,5,5
5626205.0,2315840.0,-455.0,6,1007р_1,5,5,5
5626190.0,2315695.0,-415.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-510.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-515.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-520.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-525.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-530.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-535.0,2,1008р_1,5,5,5
5626190.0,2315695.0,-535.0,5,1008р_1,5,5,5
5626190.0,2315695.0,-540.0,5,1008р_1,5,5,5
5626205.0,2315840.0,-415.0,1,1009р_1,5,5,5
5626205.0,2315840.0,-420.0,1,1009р_1,5,5,5
5626205.0,2315840.0,-420.0,6,1009р_1,5,5,5
5626205.0,2315840.0,-420.0,4,1009р_1,5,5,5
5626205.0,2315840.0,-435.0,4,1009р_1,5,5,5
5626205.0,2315840.0,-440.0,4,1009р_1,5,5,5
5626205.0,2315840.0,-440.0,5,1009р_1,5,5,5
5626205.0,2315840.0,-425.0,1,1010р_1,5,5,5
5626205.0,2315840.0,-430.0,1,1010р_1,5,5,5
5626205.0,2315840.0,-435.0,5,1010р_3,5,5,5
5626205.0,2315840.0,-440.0,2,1010р_3,5,5,5
5626205.0,2315840.0,-440.0,3,1010р_3,5,5,5
5626205.0,2315840.0,-445.0,3,1010р_3,5,5,5
5626205.0,2315840.0,-445.0,2,1010р_3,5,5,5
5626205.0,2315840.0,-450.0,2,1010р_3,5,5,5
5626205.0,2315840.0,-455.0,2,1010р_3,5,5,5
5626200.0,2315840.0,-415.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-420.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-425.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-425.0,8,1011р_1,5,5,5
5626200.0,2315840.0,-430.0,8,1011р_1,5,5,5
5626200.0,2315840.0,-430.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-435.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-440.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-445.0,4,1011р_1,5,5,5
5626200.0,2315840.0,-445.0,5,1011р_1,5,5,5
5626200.0,2315840.0,-445.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-450.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-455.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-460.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-465.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-470.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-475.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-480.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-485.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-490.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-495.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-500.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-505.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-510.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-515.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-515.0,7,1011р_1,5,5,5
5626200.0,2315840.0,-520.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-525.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-530.0,2,1011р_1,5,5,5
5626200.0,2315840.0,-535.0,2,1011р_1,5,5,5
5626205.0,2315700.0,-415.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-420.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-425.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-430.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-435.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-435.0,7,1014р_1,5,5,5
5626205.0,2315700.0,-440.0,7,1014р_1,5,5,5
5626205.0,2315700.0,-440.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-445.0,2,1014р_1,5,5,5
5626205.0,2315700.0,-445.0,5,1014р_1,5,5,5
