x,y,z,content_id,_x,_y,_z,x_n,y_n,z_n
5626205.0,2315700.0,-435.0,7,5,5,5,181.0,390.0,111.0
5626205.0,2315700.0,-440.0,7,5,5,5,181.0,390.0,110.0
5626205.0,2315700.0,-440.0,2,5,5,5,181.0,390.0,110.0
5626205.0,2315700.0,-445.0,2,5,5,5,181.0,390.0,109.0
5626205.0,2315700.0,-445.0,5,5,5,5,181.0,390.0,109.0
5626205.0,2315700.0,-450.0,5,5,5,5,181.0,390.0,108.0
5626205.0,2315700.0,-450.0,4,5,5,5,181.0,390.0,108.0
5626205.0,2315700.0,-455.0,4,5,5,5,181.0,390.0,107.0
5626205.0,2315700.0,-460.0,4,5,5,5,181.0,390.0,106.0
5626205.0,2315700.0,-465.0,4,5,5,5,181.0,390.0,105.0
5626205.0,2315700.0,-470.0,4,5,5,5,181.0,390.0,104.0
5626205.0,2315700.0,-470.0,8,5,5,5,181.0,390.0,104.0
5626205.0,2315700.0,-475.0,8,5,5,5,181.0,390.0,103.0
5626205.0,2315700.0,-480.0,8,5,5,5,181.0,390.0,102.0
5626205.0,2315700.0,-480.0,4,5,5,5,181.0,390.0,102.0
5626205.0,2315700.0,-485.0,4,5,5,5,181.0,390.0,101.0
5626205.0,2315700.0,-490.0,4,5,5,5,181.0,390.0,100.0
5626205.0,2315700.0,-490.0,5,5,5,5,181.0,390.0,100.0
5626205.0,2315700.0,-495.0,5,5,5,5,181.0,390.0,99.0
5626205.0,2315700.0,-495.0,4,5,5,5,181.0,390.0,99.0
5626205.0,2315700.0,-495.0,7,5,5,5,181.0,390.0,99.0
5626205.0,2315700.0,-500.0,7,5,5,5,181.0,390.0,98.0
5626205.0,2315700.0,-500.0,6,5,5,5,181.0,390.0,98.0
5626205.0,2315700.0,-505.0,6,5,5,5,181.0,390.0,97.0
5626155.0,2315930.0,-415.0,3,5,5,5,171.0,436.0,115.0
5626155.0,2315930.0,-420.0,3,5,5,5,171.0,436.0,114.0
5626155.0,2315930.0,-425.0,3,5,5,5,171.0,436.0,113.0
5626155.0,2315930.0,-430.0,3,5,5,5,171.0,436.0,112.0
5626155.0,2315930.0,-435.0,3,5,5,5,171.0,436.0,111.0
5626155.0,2315930.0,-435.0,6,5,5,5,171.0,436.0,111.0
5626155.0,2315930.0,-440.0,6,5,5,5,171.0,436.0,110.0
5626155.0,2315930.0,-445.0,6,5,5,5,171.0,436.0,109.0
5626155.0,2315930.0,-450.0,6,5,5,5,171.0,436.0,108.0
5626155.0,2315930.0,-450.0,4,5,5,5,171.0,436.0,108.0
5626155.0,2315930.0,-455.0,4,5,5,5,171.0,436.0,107.0
5626155.0,2315930.0,-460.0,4,5,5,5,171.0,436.0,106.0
5626155.0,2315930.0,-465.0,4,5,5,5,171.0,436.0,105.0
5626155.0,2315930.0,-470.0,4,5,5,5,171.0,436.0,104.0
5626155.0,2315930.0,-475.0,4,5,5,5,171.0,436.0,103.0
5626155.0,2315930.0,-480.0,4,5,5,5,171.0,436.0,102.0
5626155.0,2315930.0,-480.0,2,5,5,5,171.0,436.0,102.0
5626155.0,2315930.0,-485.0,2,5,5,5,171.0,436.0,101.0
5626155.0,2315930.0,-490.0,2,5,5,5,171.0,436.0,100.0
5626155.0,2315930.0,-495.0,2,5,5,5,171.0,436.0,99.0
5626155.0,2315930.0,-495.0,6,5,5,5,171.0,436.0,99.0
5626155.0,2315930.0,-415.0,4,5,5,5,171.0,436.0,115.0
5626155.0,2315930.0,-420.0,4,5,5,5,171.0,436.0,114.0
5626155.0,2315930.0,-425.0,4,5,5,5,171.0,436.0,113.0
5626155.0,2315930.0,-430.0,4,5,5,5,171.0,436.0,112.0
5626155.0,2315930.0,-435.0,4,5,5,5,171.0,436.0,111.0
5626155.0,2315930.0,-445.0,4,5,5,5,171.0,436.0,109.0
5626155.0,2315930.0,-445.0,2,5,5,5,171.0,436.0,109.0
5626155.0,2315930.0,-450.0,2,5,5,5,171.0,436.0,108.0
5626155.0,2315930.0,-470.0,2,5,5,5,171.0,436.0,104.0
5626155.0,2315930.0,-470.0,5,5,5,5,171.0,436.0,104.0
5626155.0,2315930.0,-475.0,5,5,5,5,171.0,436.0,103.0
5626155.0,2315930.0,-475.0,6,5,5,5,171.0,436.0,103.0
5626155.0,2315925.0,-415.0,4,5,5,5,171.0,435.0,115.0
5626155.0,2315925.0,-420.0,4,5,5,5,171.0,435.0,114.0
5626155.0,2315925.0,-425.0,4,5,5,5,171.0,435.0,113.0
5626155.0,2315925.0,-430.0,4,5,5,5,171.0,435.0,112.0
5626155.0,2315925.0,-435.0,4,5,5,5,171.0,435.0,111.0
5626155.0,2315925.0,-440.0,4,5,5,5,171.0,435.0,110.0
5626155.0,2315925.0,-440.0,5,5,5,5,171.0,435.0,110.0
5626155.0,2315925.0,-440.0,6,5,5,5,171.0,435.0,110.0
5626155.0,2315925.0,-445.0,6,5,5,5,171.0,435.0,109.0
5626155.0,2315925.0,-450.0,6,5,5,5,171.0,435.0,108.0
5626155.0,2315925.0,-455.0,6,5,5,5,171.0,435.0,107.0
5626155.0,2315925.0,-455.0,5,5,5,5,171.0,435.0,107.0
5626155.0,2315925.0,-455.0,4,5,5,5,171.0,435.0,107.0
5626155.0,2315925.0,-460.0,4,5,5,5,171.0,435.0,106.0
5626155.0,2315925.0,-465.0,4,5,5,5,171.0,435.0,105.0
5626155.0,2315925.0,-470.0,4,5,5,5,171.0,435.0,104.0
5626155.0,2315925.0,-475.0,4,5,5,5,171.0,435.0,103.0
5626155.0,2315925.0,-475.0,2,5,5,5,171.0,435.0,103.0
5626155.0,2315925.0,-480.0,2,5,5,5,171.0,435.0,102.0
5626155.0,2315925.0,-480.0,6,5,5,5,171.0,435.0,102.0
5626200.0,2315700.0,-415.0,2,5,5,5,180.0,390.0,115.0
5626200.0,2315700.0,-420.0,2,5,5,5,180.0,390.0,114.0
5626200.0,2315700.0,-425.0,2,5,5,5,180.0,390.0,113.0
5626200.0,2315700.0,-430.0,2,5,5,5,180.0,390.0,112.0
5626200.0,2315700.0,-430.0,7,5,5,5,180.0,390.0,112.0
5626200.0,2315700.0,-435.0,7,5,5,5,180.0,390.0,111.0
5626200.0,2315700.0,-440.0,7,5,5,5,180.0,390.0,110.0
5626200.0,2315700.0,-440.0,2,5,5,5,180.0,390.0,110.0
5626200.0,2315700.0,-445.0,2,5,5,5,180.0,390.0,109.0
5626200.0,2315700.0,-445.0,5,5,5,5,180.0,390.0,109.0
5626200.0,2315700.0,-450.0,5,5,5,5,180.0,390.0,108.0
5626200.0,2315700.0,-450.0,4,5,5,5,180.0,390.0,108.0
5626200.0,2315700.0,-455.0,4,5,5,5,180.0,390.0,107.0
5626200.0,2315700.0,-460.0,4,5,5,5,180.0,390.0,106.0
5626200.0,2315700.0,-465.0,4,5,5,5,180.0,390.0,105.0
5626200.0,2315700.0,-470.0,4,5,5,5,180.0,390.0,104.0
5626200.0,2315700.0,-475.0,4,5,5,5,180.0,390.0,103.0
5626200.0,2315700.0,-480.0,4,5,5,5,180.0,390.0,102.0
5626200.0,2315700.0,-485.0,4,5,5,5,180.0,390.0,101.0
5626200.0,2315700.0,-490.0,4,5,5,5,180.0,390.0,100.0
5626200.0,2315700.0,-490.0,2,5,5,5,180.0,390.0,100.0
5626200.0,2315700.0,-495.0,2,5,5,5,180.0,390.0,99.0
5626200.0,2315700.0,-495.0,7,5,5,5,180.0,390.0,99.0
5626200.0,2315700.0,-495.0,6,5,5,5,180.0,390.0,99.0
5626200.0,2315700.0,-500.0,6,5,5,5,180.0,390.0,98.0
5626200.0,2315700.0,-505.0,6,5,5,5,180.0,390.0,97.0
5626150.0,2315925.0,-415.0,4,5,5,5,170.0,435.0,115.0
5626150.0,2315925.0,-420.0,4,5,5,5,170.0,435.0,114.0
5626150.0,2315925.0,-420.0,2,5,5,5,170.0,435.0,114.0
5626150.0,2315925.0,-425.0,4,5,5,5,170.0,435.0,113.0
5626150.0,2315925.0,-430.0,4,5,5,5,170.0,435.0,112.0
5626150.0,2315925.0,-435.0,4,5,5,5,170.0,435.0,111.0
5626150.0,2315925.0,-435.0,2,5,5,5,170.0,435.0,111.0
5626150.0,2315925.0,-440.0,2,5,5,5,170.0,435.0,110.0
5626150.0,2315925.0,-440.0,4,5,5,5,170.0,435.0,110.0
5626150.0,2315925.0,-445.0,4,5,5,5,170.0,435.0,109.0
5626150.0,2315925.0,-450.0,4,5,5,5,170.0,435.0,108.0
5626150.0,2315925.0,-455.0,4,5,5,5,170.0,435.0,107.0
5626150.0,2315925.0,-460.0,4,5,5,5,170.0,435.0,106.0
5626150.0,2315925.0,-460.0,5,5,5,5,170.0,435.0,106.0
5626150.0,2315925.0,-465.0,5,5,5,5,170.0,435.0,105.0
5626150.0,2315925.0,-465.0,2,5,5,5,170.0,435.0,105.0
5626150.0,2315925.0,-470.0,2,5,5,5,170.0,435.0,104.0
5626150.0,2315925.0,-475.0,2,5,5,5,170.0,435.0,103.0
5626150.0,2315925.0,-480.0,2,5,5,5,170.0,435.0,102.0
5626150.0,2315925.0,-485.0,2,5,5,5,170.0,435.0,101.0
5626150.0,2315925.0,-490.0,2,5,5,5,170.0,435.0,100.0
5626150.0,2315925.0,-495.0,2,5,5,5,170.0,435.0,99.0
5626150.0,2315925.0,-495.0,7,5,5,5,170.0,435.0,99.0
5626130.0,2315970.0,-415.0,1,5,5,5,166.0,444.0,115.0
5626130.0,2315970.0,-420.0,1,5,5,5,166.0,444.0,114.0
5626130.0,2315970.0,-420.0,5,5,5,5,166.0,444.0,114.0
5626130.0,2315970.0,-425.0,5,5,5,5,166.0,444.0,113.0
5626130.0,2315970.0,-425.0,1,5,5,5,166.0,444.0,113.0
5626130.0,2315970.0,-430.0,1,5,5,5,166.0,444.0,112.0
5626130.0,2315970.0,-430.0,4,5,5,5,166.0,444.0,112.0
5626130.0,2315970.0,-435.0,4,5,5,5,166.0,444.0,111.0
5626130.0,2315970.0,-435.0,1,5,5,5,166.0,444.0,111.0
5626130.0,2315970.0,-440.0,1,5,5,5,166.0,444.0,110.0
5626130.0,2315970.0,-440.0,4,5,5,5,166.0,444.0,110.0
5626130.0,2315970.0,-445.0,4,5,5,5,166.0,444.0,109.0
5626130.0,2315970.0,-445.0,2,5,5,5,166.0,444.0,109.0
5626130.0,2315970.0,-450.0,2,5,5,5,166.0,444.0,108.0
5626130.0,2315970.0,-450.0,5,5,5,5,166.0,444.0,108.0
5626130.0,2315970.0,-450.0,4,5,5,5,166.0,444.0,108.0
5626130.0,2315970.0,-455.0,4,5,5,5,166.0,444.0,107.0
5626130.0,2315970.0,-455.0,5,5,5,5,166.0,444.0,107.0
5626130.0,2315970.0,-455.0,6,5,5,5,166.0,444.0,107.0
5626130.0,2315970.0,-460.0,6,5,5,5,166.0,444.0,106.0
5626200.0,2315700.0,-435.0,2,5,5,5,180.0,390.0,111.0
5626200.0,2315700.0,-480.0,2,5,5,5,180.0,390.0,102.0
5626200.0,2315700.0,-485.0,2,5,5,5,180.0,390.0,101.0
5626200.0,2315700.0,-490.0,6,5,5,5,180.0,390.0,100.0
5626130.0,2315970.0,-415.0,2,5,5,5,166.0,444.0,115.0
5626130.0,2315970.0,-420.0,2,5,5,5,166.0,444.0,114.0
5626130.0,2315970.0,-425.0,2,5,5,5,166.0,444.0,113.0
5626130.0,2315970.0,-430.0,2,5,5,5,166.0,444.0,112.0
5626130.0,2315970.0,-430.0,5,5,5,5,166.0,444.0,112.0
5626130.0,2315970.0,-435.0,2,5,5,5,166.0,444.0,111.0
5626130.0,2315970.0,-440.0,2,5,5,5,166.0,444.0,110.0
5626130.0,2315970.0,-440.0,5,5,5,5,166.0,444.0,110.0
5626130.0,2315970.0,-445.0,5,5,5,5,166.0,444.0,109.0
5625980.0,2315650.0,-460.0,7,5,5,5,136.0,380.0,106.0
5625980.0,2315650.0,-465.0,7,5,5,5,136.0,380.0,105.0
5625980.0,2315650.0,-475.0,7,5,5,5,136.0,380.0,103.0
5625980.0,2315650.0,-480.0,7,5,5,5,136.0,380.0,102.0
5625980.0,2315650.0,-490.0,5,5,5,5,136.0,380.0,100.0
5625980.0,2315650.0,-500.0,7,5,5,5,136.0,380.0,98.0
5625980.0,2315650.0,-435.0,7,5,5,5,136.0,380.0,111.0
5625980.0,2315650.0,-440.0,7,5,5,5,136.0,380.0,110.0
5625980.0,2315650.0,-445.0,7,5,5,5,136.0,380.0,109.0
5626200.0,2315700.0,-450.0,2,5,5,5,180.0,390.0,108.0
5626200.0,2315700.0,-455.0,2,5,5,5,180.0,390.0,107.0
5626200.0,2315700.0,-455.0,5,5,5,5,180.0,390.0,107.0
5626125.0,2315970.0,-415.0,1,5,5,5,165.0,444.0,115.0
5626125.0,2315970.0,-420.0,1,5,5,5,165.0,444.0,114.0
5626125.0,2315970.0,-420.0,5,5,5,5,165.0,444.0,114.0
5626125.0,2315970.0,-420.0,3,5,5,5,165.0,444.0,114.0
5626125.0,2315970.0,-425.0,3,5,5,5,165.0,444.0,113.0
5626125.0,2315970.0,-430.0,3,5,5,5,165.0,444.0,112.0
5626125.0,2315970.0,-435.0,3,5,5,5,165.0,444.0,111.0
5626125.0,2315970.0,-440.0,3,5,5,5,165.0,444.0,110.0
5626125.0,2315970.0,-445.0,3,5,5,5,165.0,444.0,109.0
5626125.0,2315970.0,-450.0,3,5,5,5,165.0,444.0,108.0
5626125.0,2315970.0,-455.0,3,5,5,5,165.0,444.0,107.0
5626125.0,2315970.0,-460.0,3,5,5,5,165.0,444.0,106.0
5626125.0,2315970.0,-465.0,3,5,5,5,165.0,444.0,105.0
5626125.0,2315970.0,-470.0,3,5,5,5,165.0,444.0,104.0
5626125.0,2315970.0,-475.0,3,5,5,5,165.0,444.0,103.0
5626125.0,2315970.0,-475.0,5,5,5,5,165.0,444.0,103.0
5626125.0,2315970.0,-480.0,5,5,5,5,165.0,444.0,102.0
5626125.0,2315970.0,-480.0,1,5,5,5,165.0,444.0,102.0
5626125.0,2315970.0,-485.0,1,5,5,5,165.0,444.0,101.0
5626125.0,2315970.0,-490.0,1,5,5,5,165.0,444.0,100.0
5626125.0,2315970.0,-490.0,2,5,5,5,165.0,444.0,100.0
5626125.0,2315970.0,-495.0,2,5,5,5,165.0,444.0,99.0
5626125.0,2315970.0,-495.0,3,5,5,5,165.0,444.0,99.0
5626125.0,2315970.0,-500.0,3,5,5,5,165.0,444.0,98.0
5626105.0,2316015.0,-420.0,1,5,5,5,161.0,453.0,114.0
5626105.0,2316015.0,-425.0,1,5,5,5,161.0,453.0,113.0
5626105.0,2316015.0,-430.0,1,5,5,5,161.0,453.0,112.0
5626105.0,2316015.0,-430.0,5,5,5,5,161.0,453.0,112.0
5626105.0,2316015.0,-435.0,5,5,5,5,161.0,453.0,111.0
5626105.0,2316015.0,-440.0,5,5,5,5,161.0,453.0,110.0
5626105.0,2316015.0,-440.0,6,5,5,5,161.0,453.0,110.0
5626105.0,2316015.0,-445.0,6,5,5,5,161.0,453.0,109.0
5626105.0,2316015.0,-455.0,2,5,5,5,161.0,453.0,107.0
5626105.0,2316015.0,-415.0,1,5,5,5,161.0,453.0,115.0
5626105.0,2316015.0,-420.0,5,5,5,5,161.0,453.0,114.0
5626105.0,2316015.0,-420.0,2,5,5,5,161.0,453.0,114.0
5626105.0,2316015.0,-425.0,2,5,5,5,161.0,453.0,113.0
5626105.0,2316015.0,-425.0,4,5,5,5,161.0,453.0,113.0
5626105.0,2316015.0,-425.0,6,5,5,5,161.0,453.0,113.0
5626105.0,2316015.0,-430.0,6,5,5,5,161.0,453.0,112.0
5626105.0,2316015.0,-445.0,2,5,5,5,161.0,453.0,109.0
5626105.0,2316015.0,-450.0,2,5,5,5,161.0,453.0,108.0
5626105.0,2316015.0,-420.0,4,5,5,5,161.0,453.0,114.0
5626105.0,2316015.0,-425.0,5,5,5,5,161.0,453.0,113.0
5626105.0,2316015.0,-415.0,2,5,5,5,161.0,453.0,115.0
5626105.0,2316015.0,-470.0,6,5,5,5,161.0,453.0,104.0
5625975.0,2315650.0,-445.0,2,5,5,5,135.0,380.0,109.0
5625975.0,2315650.0,-450.0,2,5,5,5,135.0,380.0,108.0
5625975.0,2315650.0,-455.0,2,5,5,5,135.0,380.0,107.0
5625975.0,2315650.0,-460.0,2,5,5,5,135.0,380.0,106.0
5625975.0,2315650.0,-465.0,2,5,5,5,135.0,380.0,105.0
5625975.0,2315650.0,-465.0,1,5,5,5,135.0,380.0,105.0
5625975.0,2315650.0,-470.0,2,5,5,5,135.0,380.0,104.0
5625975.0,2315650.0,-475.0,2,5,5,5,135.0,380.0,103.0
5625975.0,2315650.0,-475.0,5,5,5,5,135.0,380.0,103.0
5625975.0,2315650.0,-480.0,5,5,5,5,135.0,380.0,102.0
5626100.0,2316010.0,-415.0,1,5,5,5,160.0,452.0,115.0
5626100.0,2316010.0,-420.0,1,5,5,5,160.0,452.0,114.0
5626100.0,2316010.0,-425.0,1,5,5,5,160.0,452.0,113.0
5626100.0,2316010.0,-430.0,1,5,5,5,160.0,452.0,112.0
5626100.0,2316010.0,-430.0,4,5,5,5,160.0,452.0,112.0
5626100.0,2316010.0,-435.0,4,5,5,5,160.0,452.0,111.0
5626100.0,2316010.0,-440.0,4,5,5,5,160.0,452.0,110.0
5626100.0,2316010.0,-440.0,8,5,5,5,160.0,452.0,110.0
5626100.0,2316010.0,-445.0,8,5,5,5,160.0,452.0,109.0
